HF,13.0,10.9,7.7,9.4,10.4,11.7,11.4,11.2,10.8,12.2,14.0
HF,13.0,9.0,8.5,9.0,10.0,10.5,10.5,10.5,10.5,12.3,13.5
HF,12.8,9.5,9.0,9.4,10.2,10.3,10.9,10.6,10.2,11.7,13.0
HF,12.5,10.0,9.0,10.5,10.0,10.4,10.7,11.0,10.5,12.5,14.0
HF,12.3,10.4,9.3,10.5,10.8,11.3,11.6,11.5,10.0,13.5,13.1
HF,12.0,10.0,9.5,10.0,10.5,11.0,11.5,11.5,9.5,13.0,14.0
HF,11.8,9.8,8.5,9.8,9.7,10.1,10.3,10.5,9.5,12.5,13.5
HF,11.5,8.6,8.0,8.6,9.6,10.1,10.5,10.6,9.5,11.9,13.0
HF,11.5,8.5,8.0,8.3,9.5,10.0,10.0,10.8,10.5,13.5,13.5
HF,11.5,8.5,7.0,8.0,8.3,9.2,9.8,10.0,8.5,11.5,11.5
HF,11.2,8.4,8.1,8.7,9.5,9.7,9.7,10.0,9.0,11.2,12.2
HF,11.1,8.7,7.7,8.9,9.2,9.8,9.9,10.0,9.4,12.2,13.2
HF,11.0,9.0,8.4,8.5,9.7,10.2,10.2,10.2,9.4,12.5,13.7
HF,11.0,9.0,7.8,8.8,8.8,9.3,10.0,10.5,8.0,12.0,11.3
HF,11.0,8.6,8.1,9.1,9.6,9.7,10.1,10.7,9.4,11.0,13.8
HF,10.9,8.9,7.9,8.4,9.6,10.5,10.6,10.6,9.8,11.9,13.1
HF,10.8,9.0,7.7,9.1,10.1,10.3,10.5,10.7,9.4,12.7,13.9
HF,10.8,8.8,7.8,9.0,9.0,9.8,11.8,17.0,10.9,13.0,14.5
HF,10.6,7.1,7.1,7.3,8.3,8.7,9.2,9.4,8.5,10.8,12.5
HF,10.5,8.0,7.5,8.5,9.5,9.5,9.5,10.0,9.0,10.5,12.5
HF,10.3,7.6,7.3,7.6,9.0,9.5,9.6,9.7,9.3,11.4,12.8
HF,10.2,7.5,8.7,8.7,9.8,9.6,9.7,9.8,8.8,11.1,12.0
HF,10.0,8.5,8.0,8.4,10.0,10.5,10.9,11.2,10.0,12.0,12.7
HF,10.0,8.0,7.0,8.5,9.2,9.5,10.0,10.3,9.7,12.5,12.7
HF,10.0,7.9,7.0,7.8,10.4,10.8,10.1,10.7,8.9,12.2,12.3
HF,10.0,7.7,7.6,7.9,9.0,9.6,9.8,12.2,8.7,10.9,11.9
HF,9.8,7.5,6.8,7.3,NaN,NaN,9.9,10.0,NaN,11.5,12.5
HF,9.7,7.5,6.8,7.3,8.8,9.5,9.9,10.0,9.7,11.5,NaN
HF,9.5,7.5,7.0,8.8,8.0,9.5,10.0,10.0,9.5,11.0,12.0
HF,9.5,7.5,7.0,8.0,8.5,9.0,10.0,10.2,9.0,11.2,12.2
HF,9.5,7.2,6.5,7.2,7.6,8.2,8.6,9.0,8.0,10.3,NaN
HF,9.5,7.0,6.5,7.0,8.0,8.5,9.0,9.0,7.5,11.0,12.0
HF,9.3,7.5,7.1,7.7,NaN,9.7,NaN,9.9,9.4,11.3,11.1
HF,9.0,6.5,6.5,7.0,8.5,9.0,9.0,9.5,8.5,11.0,12.5
HF,8.5,6.5,5.5,6.5,8.8,9.5,10.0,10.1,NaN,NaN,NaN
HF,8.0,6.0,5.5,6.0,6.0,7.0,8.0,8.0,7.5,9.5,12.5
