HD,11.5,10.0,8.7,8.8,10.0,10.4,10.4,10.5,9.6,12.9,13.7
HD,11.5,8.8,7.8,8.7,10.8,11.2,10.5,11.0,9.2,12.7,12.7
HD,11.5,8.5,8.0,8.4,9.7,9.8,10.6,10.4,10.1,11.8,13.2
HD,11.3,8.7,8.0,8.8,9.8,10.4,10.8,11.1,9.6,11.7,13.1
HD,11.2,8.7,8.1,8.7,9.8,10.2,10.2,10.8,10.1,12.6,13.3
HD,11.2,8.5,7.8,8.6,9.8,10.6,10.8,10.8,9.5,12.6,12.9
HD,11.2,8.5,7.4,8.4,10.5,10.6,10.7,10.0,9.4,12.3,12.5
HD,11.1,8.1,7.4,8.0,9.4,10.0,10.3,10.4,9.7,11.9,13.1
HD,11.0,9.0,8.5,9.0,9.5,9.7,10.0,10.0,8.5,11.5,12.5
HD,11.0,8.8,7.5,8.5,9.8,10.3,11.0,11.5,8.8,13.0,11.3
HD,11.0,8.7,7.5,8.7,9.5,9.8,10.4,10.3,9.7,12.5,13.0
HD,11.0,8.0,7.7,8.2,9.5,10.0,10.0,10.2,9.0,12.0,13.0
HD,11.0,8.0,7.5,8.0,9.3,10.0,10.3,10.3,10.0,11.5,13.0
HD,11.0,8.0,7.5,8.0,9.0,9.5,10.0,10.0,9.0,12.0,13.5
HD,11.0,8.0,7.5,7.8,9.0,9.5,9.5,10.2,10.0,12.8,13.0
HD,11.0,8.0,7.0,8.0,9.0,10.0,10.2,10.5,9.0,12.0,12.0
HD,10.8,8.3,7.4,8.3,9.3,9.6,9.8,10.0,9.0,12.0,13.5
HD,10.8,8.3,7.4,8.1,9.3,10.1,10.2,10.2,9.6,11.8,13.5
HD,10.8,8.0,7.5,8.3,9.0,9.5,10.0,10.2,9.2,11.8,NaN
HD,10.8,8.0,7.0,8.0,8.7,9.0,10.0,10.2,9.5,12.0,13.0
HD,10.7,8.0,7.6,8.0,9.3,10.0,10.5,10.5,9.7,12.1,13.5
HD,10.6,8.4,7.4,8.4,9.6,10.2,10.3,10.4,9.7,12.5,13.7
HD,10.6,8.0,7.5,8.0,9.0,9.4,10.0,10.2,9.4,11.7,13.8
HD,10.5,8.5,7.5,8.8,9.0,10.0,10.5,10.5,10.0,11.5,12.5
HD,10.5,8.5,7.5,8.8,8.8,9.5,11.8,12.0,10.0,13.0,13.0
HD,10.5,8.4,7.9,8.9,10.5,10.8,11.0,11.1,9.9,11.4,14.4
HD,10.5,8.0,7.5,8.5,9.0,9.4,9.7,10.0,9.5,11.3,13.0
HD,10.5,8.0,7.0,8.0,10.5,10.5,11.0,11.0,9.5,11.5,13.5
HD,10.3,7.8,7.0,7.6,9.0,9.7,10.0,10.1,9.8,11.6,NaN
HD,10.3,7.7,7.6,8.1,NaN,9.7,NaN,10.0,9.2,12.0,12.4
HD,10.3,7.5,7.0,7.5,NaN,NaN,10.2,10.3,NaN,11.8,13.0
HD,10.0,8.0,7.5,8.0,8.0,8.5,9.5,9.5,9.0,11.0,14.0
HD,10.0,8.0,6.8,7.5,9.8,10.0,10.1,10.3,9.5,12.1,14.3
HD,10.0,7.8,6.2,7.5,7.9,9.2,9.4,9.5,10.3,11.8,12.0
HD,9.5,7.0,6.0,7.0,9.0,9.8,10.3,10.3,NaN,NaN,NaN
HD,9.3,7.7,7.0,7.4,8.9,9.2,9.6,9.8,9.0,11.0,13.8
